	SNP	Chromosome	Position	trait1
1	ENSG00000001497	23	64732461	7.4860200675011e-12
2	ENSG00000004487	1	23345940	5.22809012094568e-06
3	ENSG00000005302	23	11776277	3.36548021932553e-06
4	ENSG00000005339	16	3775054	0.280519526256846
5	ENSG00000005483	7	104654625	0.0273877235727128
6	ENSG00000006459	7	139784545	0.0449072203675623
7	ENSG00000006712	19	39876491	0.903865953453163
8	ENSG00000008083	6	15246526	0.0125559418122761
9	ENSG00000008324	3	42623331	0.00145399532411826
10	ENSG00000009954	7	72854727	1.13196618641188e-10
11	ENSG00000010803	1	41492871	0.369904806705457
12	ENSG00000011258	17	49254785	0.562831041263931
13	ENSG00000011332	19	38701645	5.49189926338316e-07
14	ENSG00000012048	17	41196311	7.49821429956215e-11
15	ENSG00000012817	24	21867300	0.257529558440977
16	ENSG00000012963	14	93673400	0.143465101011206
17	ENSG00000015153	12	42550905	0.708023980188024
18	ENSG00000015171	10	180404	2.01935973039322e-10
19	ENSG00000019485	11	45115563	0.00504564714091207
20	ENSG00000019549	8	49830248	0.458011894252293
21	ENSG00000024048	6	42531799	1.42478128454536e-10
22	ENSG00000025293	20	34359904	0.243252703015842
23	ENSG00000028310	5	850405	2.05834158016708e-09
24	ENSG00000032219	14	58765102	1.81661722664668e-08
25	ENSG00000036257	2	225334866	2.14900768962559e-05
26	ENSG00000036549	1	78030184	0.645154423867775
27	ENSG00000041880	3	51976360	0.0749465557464461
28	ENSG00000043143	5	133860002	0.722820526950684
29	ENSG00000048052	7	18535368	0.222206918849445
30	ENSG00000048649	11	77371040	0.0136119647237282
31	ENSG00000049618	6	157099062	4.62600624584568e-05
32	ENSG00000049768	23	49106896	0.000123458966839139
33	ENSG00000051180	15	40986971	3.18251869684821e-15
34	ENSG00000054267	1	235330209	0.868662277660393
35	ENSG00000055130	7	148395005	0.343740084907801
36	ENSG00000055483	17	76783548	0.0282200892538347
37	ENSG00000055609	7	151832009	0.0120139594205483
38	ENSG00000057657	6	106534194	0.478504295587093
39	ENSG00000057935	2	42721708	0.610753919689803
40	ENSG00000059758	12	96672038	0.0708109119746484
41	ENSG00000061273	12	48176504	0.424663013616833
42	ENSG00000061455	5	122424815	2.40850421147279e-05
43	ENSG00000064313	8	120743014	0.0216822117854564
44	ENSG00000064655	20	45523262	0.0263494301592809
45	ENSG00000064961	19	3572774	0.000626649780347144
46	ENSG00000065526	1	16174358	0.013818674226635
47	ENSG00000065717	19	2997635	0.000271476746060549
48	ENSG00000066117	12	50478754	1.45052427445971e-06
